,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details,VARIENTS
22,Maruti Suzuki Swift Dzire Tour,K12M VVT I4,1197 cc,Manual,CNG,31.12 km/kg,55 Litres,Mac Pherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Swift Dzire Tour S (O)', 'Swift Dzire Tour S CNG (O)']"
23,Maruti Suzuki Wagon R tour,K10C,998 cc,Manual,CNG,34.73 km/kg,60 Litres,MacPherson Strut with Coil Spring,Torsion Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Wagon R tour H3 PETROL', 'Wagon R tour H3 CNG']"
24,Tata Punch,1.2 l Revotron Engine,1199 cc,Automatic,Petrol,18.8 kmpl,37 Litres,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Floating 7"" Touchscreen Infotainment By Harman,2 Tweeters,iRA Connected Tech'}","['Punch Pure', 'Punch Pure Rhythm', 'Punch Adventure', 'Punch Pure CNG', 'Punch Adventure Rhythm']"
25,Tata Nexon,1.5L Turbocharged Revotorq,1497 cc,Automatic,Diesel,24.08 kmpl,N/A,"Independent, Lower Wishbone, McPherson Strut with Coil Spring","Semi-independent, Open Profile Twist Beam with Stabiliser Bar, Coil Spring and Shock Absorber","{'Touch Screen size': '10.24 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'Slim Bezel Touchscreen Infotainment System, Wireless Android Auto and Apple CarPlay'}","['Nexon Smart', 'Nexon Smart Plus', 'Nexon Smart Plus S', 'Nexon Pure', 'Nexon Smart Plus AMT']"
26,Tata Harrier,Kryotec 2.0L,1956 cc,Automatic,Diesel,16.8 kmpl,50 Litres,"Independent, Lower Wishbone, McPherson Strut with Coil Spring & Anti Roll Bar",Semi Independent Twist Blade with Panhard Rod & Coil Spring,"{'Touch Screen size': '12.29 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'Wireless Android Auto & Apple CarPlay, Connected Vehicle Technology with iRA 2.0'}","['Harrier Smart', 'Harrier Smart (O)', 'Harrier Pure', 'Harrier Pure (O)', 'Harrier Pure Plus']"
27,Tata Punch EV,Lithium-Ion,90 kW,Automatic,Electric,421 km,35 kWh,"Independent, Lower Wishbone, McPherson Strut with Coil Spring",Semi-independent Twist Beam With Coil Spring,"{'Touch Screen size': '10.25 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'HD Infotainment by HARMAN, Wireless Android Auto And Apple CarPlay, Multiple Voice Assistants(Hay Tata, Alexa, Siri, Google Assistant)'}","['Punch EV Smart', 'Punch EV Smart Plus', 'Punch EV Adventure', 'Punch EV Adventure S', 'Punch EV Empowered']"
28,Tata Safari,Kryotec 2.0L,1956 cc,Automatic,Diesel,N/A,50 Litres,"Independent, Lower Wishbone, McPherson Strut with Coil Spring & Anti-Roll Bar",Semi Independent Twist Blade with Panhard Rod & Coil Spring,"{'Touch Screen size': '12.29 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'Wireless Android Auto & Apple Carplay, 250+ Native Voice Commands, Harman AudioworX Advanced with JBL Audio Modes,Connected Vehicle Technology with iRA 2.0'}","['Safari Smart', 'Safari Smart (O)', 'Safari Pure', 'Safari Pure (O)', 'Safari Pure Plus']"
29,Tata Tiago,1.2L Revotron,1199 cc,Automatic,CNG,28.06 km/kg,60 Litres,"Independent, Lower wishbone, McPherson Strut with coil spring","Semi-independent, closed profile twist beam with dual path strut","{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'USB Connectivity,Speed Dependent Volume Control,Phone Book Access & Audio Streaming,Call Rejected with SMS Feature,Incoming SMS Notifications and Read-Outs,qImage and Video Playback,'}","['Tiago XE', 'Tiago XM', 'Tiago XT Option', 'Tiago XT', 'Tiago XT Rhythm']"
30,Tata Altroz,1.5 l Turbocharged Revotorq,1497 cc,Manual,Diesel,23.64 kmpl,37 Litres,Independent MacPherson dual path strut with coil spring,Twist beam with coil spring and shock Absorber,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': '""Floating Dashtop Harman Infotainment,USB with fast charger,Whatsapp and Text message readout,Hindi/English/Hinglish Voice assist'}","['Altroz XE', 'Altroz XM', 'Altroz XM S', 'Altroz XE CNG', 'Altroz XM Plus']"
31,Tata Nexon EV,Lithium Ion,106.4 kW,Automatic,Electric,465 km,40.5 kWh,Independent MacPherson strut with coil spring,Twist beam with dual path Strut,"{'Touch Screen size': '12.3 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'Arcade.ev App suite, Persona based graphic display, SMS / WhatsApp notifications and read-outs, Image and video playback, ZConnect mobile app - Connected Car technology'}","['Nexon EV Creative Plus', 'Nexon EV Fearless', 'Nexon EV Fearless Plus', 'Nexon EV Fearless Plus S', 'Nexon EV Empowered']"
32,Tata Tiago EV,Lithium-Ion,55,Automatic,Electric,315 km,24 kWh,Independent Lower Wishbone McPherson Dual Path (Strut Type),Rear Twist Beam With Coil Spring,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': '17.78 cm Touchscreen Infotainment by HARMAN, Speed Dependent Volume, Phone Book Access, Audio Streaming, Incoming SMS Notifications and Read-outs, Call Reject with SMS Feature'}","['Tiago EV XE MR', 'Tiago EV XT MR', 'Tiago EV XT LR', 'Tiago EV XZ Plus LR', 'Tiago EV XZ Plus LR ACFC']"
33,Tata Tigor,1.2L Revotron,1199 cc,Automatic,CNG,28.06 km/kg,70 Litres,"Independent, Lower Wishbone, McPherson Strut with Coil Spring","Semi-independent, Closed Profile Twist, Beam with Dual Path Strut","{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': '17.78 cm Touchscreen Infotaiment System by Harman, Call Reject with SMS Feature, ConnectNext App Suite, Image & Video Playback, Incoming SMS Notifications & Read Outs, Phone Book Access, Digital Controls for Automatic Climate Control'}","['Tigor XE', 'Tigor XM', 'Tigor XZ', 'Tigor XMA AMT', 'Tigor XM CNG']"
34,Tata Tigor EV,Lithium-ion,55KW,Automatic,Electric,315 km,26 kWh,Independent MacPherson strut with coil spring,Twist beam with dual path strut,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'ConnectNext Floating Dash - Top Touchscreen Infotainment by HARMAN,HARMAN Sound System,i-pod Connectivity,Phone Book access,Audio Streaming,Incoming SMS Notifications and Read-outs, Call Reject with SMS Feature'}","['Tigor EV XE', 'Tigor EV XT', 'Tigor EV XZ Plus', 'Tigor EV XZ Plus LUX']"
35,Tata Tiago NRG,1.2L Revotron,1199 cc,Automatic,CNG,26.49 km/kg,35 Litres,"Independent, Lower wishbone, McPherson Strut with coil spring","Semi-independent, Rear Twist Beam with Dual path Strut","{'Touch Screen size': '7 Inch', 'Connectivity': 'N/A', 'Tweeters': '4', 'Additional Features': 'Speed Dependent Volume Control.Phone Book Access & Audio Streaming,Call Rejected with SMS Feature,Image and Video Playback'}","['Tiago NRG XT', 'Tiago NRG XZ', 'Tiago NRG XT CNG', 'Tiago NRG XZA AMT', 'Tiago NRG XZ CNG']"
36,Tata Yodha Pickup,TATA 4SP CR TCIC,2956 cc,Manual,Diesel,N/A,45 Litres,Semi-elliptical leaf springs-6leaves,Innovative Two-stage Semi-elliptical leaf springs-7leaves,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Yodha Pickup Eco', 'Yodha Pickup Crew Cabin', 'Yodha Pickup 1500', 'Yodha Pickup 4x4']"
