,MAKE_MODEL,ENGINE_TYPE,ENGINE_DISPLACEMENT,TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE,TANK_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION
141,BMW 2 Series,EngineType,1998 cc,Automatic,Diesel,18.64 kmpl,51 Litres,Single-joint spring strut axle in lightweight aluminium-steel construction,Adaptive M-specific Suspension
142,BMW M2,3.0 M TwinPower Turbo inline,2993 cc,Automatic,Petrol,N/A,52 Litres,N/A,N/A
143,BMW 7 Series,B57 turbo I6,2993 cc,Automatic,Diesel,N/A,74 Litres,Air Suspension,Air Suspension
144,BMW 6 Series,TwinPower Turbo inline 4-cylinder engine,1995 cc,Automatic,Diesel,18.65 kmpl,N/A,Adaptive Air Suspension,Dynamic Damper Control
145,BMW X4,3.0L TwinPower Turbo inline,2993 cc,Automatic,Petrol,N/A,68 Litres,Adaptive M,Adaptive M
146,BMW M4 Competition,EngineType,2993 cc,Automatic,Petrol,11.86 kmpl,59 Litres,Adaptive M-Specific Suspension,Adaptive M-Specific Suspension
147,BMW iX1,N/A,N/A,Automatic,Electric,N/A,N/A,Adaptive M Suspension,N/A
148,BMW 3 Series Gran Limousine,TwinPower Turbo,1995 cc,Automatic,Diesel,19.61 kmpl,59 Litres,N/A,N/A
149,BMW i4,N/A,N/A,Automatic,Electric,N/A,N/A,Air Suspension,Air Suspension
150,BMW M8 Coupe Competition,petrol engine,4395 cc,Automatic,Petrol,8.7 kmpl,68 Litres,Adaptive M Suspension,Adaptive M Suspension
151,BYD Seal,N/A,N/A,Automatic,Electric,N/A,N/A,Double Wishbone,Multi-Link
152,BYD Atto 3,N/A,N/A,Automatic,Electric,N/A,N/A,Macpherson Strut,Multi-Link
153,BYD E6,N/A,N/A,Automatic,Electric,N/A,N/A,McPherson,Multi-link
154,Ferrari Roma,V8 - 90° turbo,3855 cc,Automatic,Petrol,N/A,80 Litres,Magnetorheological damper,Magnetorheological damper
155,Ferrari 296 GTB,EngineType,2992 cc,Automatic,Petrol,N/A,65 Litres,N/A,N/A
156,Ferrari SF90 Stradale,V8-90°-turbo,3990 cc,Automatic,Petrol,N/A,68 Litres,"independent,double wishbones(Adaptive Dampers)","independent, multi-link(Adaptive Dampers)"
